trialname,Right_AnkleDorsiFlexion_min,Right_AnkleDorsiFlexion_max,Right_AnkleDorsiFlexion_rom,Right_AnkleDorsiFlexion_td,Right_AnkleDorsiFlexion_to,Right_AnkleInversion_min,Right_AnkleInversion_max,Right_AnkleInversion_rom,Right_AnkleInversion_td,Right_AnkleInversion_to,Right_AnkleInternalRotation_min,Right_AnkleInternalRotation_max,Right_AnkleInternalRotation_rom,Right_AnkleInternalRotation_td,Right_AnkleInternalRotation_to,Right_KneeFlexion_min,Right_KneeFlexion_max,Right_KneeFlexion_rom,Right_KneeFlexion_td,Right_KneeFlexion_to,Right_KneeAdduction_min,Right_KneeAdduction_max,Right_KneeAdduction_rom,Right_KneeAdduction_td,Right_KneeAdduction_to,Right_KneeInternalRotation_min,Right_KneeInternalRotation_max,Right_KneeInternalRotation_rom,Right_KneeInternalRotation_td,Right_KneeInternalRotation_to,Right_HipFlexion_min,Right_HipFlexion_max,Right_HipFlexion_rom,Right_HipFlexion_td,Right_HipFlexion_to,Right_HipAdduction_min,Right_HipAdduction_max,Right_HipAdduction_rom,Right_HipAdduction_td,Right_HipAdduction_to,Right_HipInternalRotation_min,Right_HipInternalRotation_max,Right_HipInternalRotation_rom,Right_HipInternalRotation_td,Right_HipInternalRotation_to
P01_Base_0002,-23.0024527838534,8.1399302634151,31.1423830472685,2.77642990776719,-23.0024527838534,-6.80545004068222,1.053778311659,7.85922835234122,-2.90108666267533,-3.20617237352114,-6.89598570585945,1.19707174286061,8.09305744872007,-3.07719678906237,-3.37355928797324,0.080679612101073,46.4071978917436,46.3265182796425,1.05334556649066,46.4071978917436,0.3178556521402,5.83424152580884,5.51638587366864,0.3735970504549,0.580628065188916,-12.482872306262,5.61218824888733,18.0950605551494,-10.5786308067031,1.55665905504837,-11.6729669756984,37.2642020202151,48.9371689959135,35.6217072782393,-0.438954285939835,-7.25294494735262,6.06982686240292,13.3227718097555,-1.96432057239118,-7.25294494735262,-3.44442809857237,3.46462128810081,6.90904938667318,1.62735795349431,-2.0449091345738
P01_Base_0003,-21.8810999501724,8.34312107775924,30.2242210279316,3.15152042886274,-21.8810999501724,-7.7417321861127,0.58123203873329,8.32296422484599,-3.10216743377032,-2.71774391532521,-7.768725739505,0.667310419020822,8.43603615852583,-3.28183463485486,-2.86367026020115,1.16292729631826,44.5133089295983,43.3503816332801,2.32769343464495,44.5133089295983,0.211029261165605,4.84669266592476,4.63566340475915,0.630968203772754,0.556307306243255,-11.3059232110641,5.84868474184279,17.1546079529068,-9.52741229395139,2.82258858594201,-12.1002370362256,35.8853051915613,47.9855422277869,34.8139630304553,-1.82942672338445,-6.81595805605629,6.69978845768025,13.5157465137365,-1.2438699704564,-6.81595805605629,-2.61712962237765,5.9846118331991,8.60174145557675,1.77024282985096,-2.31905246634502
P01_Base_0004,-22.7400934238358,6.8917296229675,29.6318230468033,3.10987849114245,-22.7400934238358,-6.9935347044248,1.52915270180721,8.52268740623201,-2.87752271546648,-1.97713053064394,-7.06776483745204,1.72679230519015,8.79455714264219,-3.05205975578591,-2.1107282633526,1.22172360164917,45.3432040553534,44.1214804537042,2.52789316757291,45.3432040553534,0.61156539148957,4.50380294225092,3.89223755076135,0.783738054040163,1.01708992826378,-11.704149401267,5.38519568128837,17.0893450825553,-9.47807185944416,2.71949342097282,-12.0564820859218,33.7143659925275,45.7708480784493,32.9613489455207,-1.28415634490073,-5.88825433516545,6.36174957547416,12.2500039106396,-1.37928186155853,-5.88825433516545,-3.4980823711813,4.38522668138898,7.88330905257028,0.897412239267973,-3.16812446830228
P01_Base_0006,-23.1914991073691,7.80672232758576,30.9982214349548,3.16543823930095,-23.1914991073691,-7.73966299175892,-1.10154093196004,6.63812205979889,-2.88701476583191,-4.74857341000997,-7.7519480766441,-1.18721563867254,6.56473243797156,-3.05975984417448,-4.91942853646995,-0.325978611026986,46.9502266413969,47.2762052524239,-0.25779323572264,46.9502266413969,0.264702154148824,4.71118274299714,4.44648058884831,0.272657329698865,1.17540827681795,-11.3788876378627,5.35222337158353,16.7311110094463,-10.5062454667406,-0.407253188974754,-11.6652981102808,33.1965875701207,44.8618856804015,31.3994976083298,-0.265940219862244,-6.18536820999251,6.00202080359649,12.187389013589,-2.17291578221423,-6.18536820999251,-3.54756465824662,3.92742965334136,7.47499431158799,0.0124046827615539,-3.10566159960157
P01_Base_0007,-23.0863334889878,8.05876967163564,31.1451031606235,1.70542728488067,-23.0863334889878,-6.96692258335882,-0.742168822248976,6.22475376110985,-2.808617480556,-4.39765907338634,-7.05100045995829,-0.797890033145655,6.25311042681264,-2.97949852730399,-4.5726064778255,-0.411873776793294,48.1856152744571,48.5974890512504,-0.337667093050138,48.1856152744571,0.33664285494538,4.62400776858387,4.28736491363849,0.345484701238375,1.22209717690367,-11.5567275953429,5.20693066773184,16.7636582630747,-10.7641284681481,-0.252795005198921,-11.460085882968,32.9319275709501,44.3920134539181,31.2037979032812,0.510160744850049,-6.74193430736895,5.83281595251083,12.5747502598798,-2.77120409810831,-6.74193430736895,-3.23028994885912,4.07543191105822,7.30572185991734,-0.323060623041554,-2.66544879154236
P01_Mid_0015,-21.296014865611,9.20248731582986,30.4985021814408,2.55692780792742,-21.296014865611,-8.90142850140222,-2.14995261521862,6.7514758861836,-3.28724695923294,-5.5053527893512,-8.82283301394849,-2.2947980111498,6.5280350027987,-3.4702261240381,-5.65362389790431,0.407619893693877,43.9021302596944,43.4945103660005,1.92007401823031,43.9021302596944,0.100631503050132,5.94599229137096,5.84536078832082,0.852602732039441,1.2902145244741,-12.5623518598012,3.48646739770443,16.0488192575057,-9.92087094149864,-2.23367969065481,-13.6961453132615,39.1060692248778,52.8022145381393,36.4113681424037,-3.97773424522347,-6.57151832650913,6.09474792568774,12.6662662521969,-2.20788658736211,-6.57151832650913,-3.55373094203296,4.37355009458336,7.92728103661632,0.814503933584836,-3.13226122702315
P01_Mid_0018,-22.1293473971252,9.27747636710652,31.4068237642317,3.66348209992199,-22.1293473971252,-9.26042069552592,-2.66243996828201,6.59798072724391,-3.4956429177585,-5.61557313291109,-9.15160529803179,-2.83091709086093,6.32068820717086,-3.6814686999994,-5.76678854390733,-0.450285356589946,43.8527287106803,44.3030140672703,1.86789177974507,43.8527287106803,0.000514982090178427,4.97841235097294,4.97789736888276,0.795894026568988,0.458376026947903,-12.379308445503,4.5782752252428,16.9575836707458,-10.7743863150429,-1.31053942572012,-14.5092275693851,35.936184207267,50.4454117766521,34.2726624337706,-4.18581376169341,-7.11607284058298,6.14047501258533,13.2565478531683,-1.98178969268961,-7.11607284058298,-4.2931960948378,4.09026236107368,8.38345845591148,-0.646975261615508,-4.07513544725354
P01_Mid_0022,-20.8887724934917,8.03954539759861,28.9283178910903,2.61943962841989,-20.8887724934917,-8.73652224418678,-1.94604389205304,6.79047835213374,-3.99132045906179,-5.22623395559179,-8.66929467497072,-2.08641301909763,6.58288165587309,-4.17803669545354,-5.39224477370208,-0.665808098046218,43.6187797867755,44.2845878848217,1.28707789139932,43.6187797867755,0.110695160061526,5.23422129056375,5.12352613050222,0.784616028150998,0.688960109129,-11.4479797758578,5.5947224846758,17.0427022605336,-9.8948441052862,-0.344072697772655,-13.8916592229245,38.383041545463,52.2747007683876,36.2140444968047,-4.35984384486659,-7.07476308537203,6.51010274776716,13.5848658331392,-2.32141386701794,-7.07476308537203,-4.27227948268593,4.53287473866149,8.80515422134741,0.557972231248793,-3.95015567113091
P03_Base_0003,-14.8764941569049,11.2546018951335,26.1310960520384,3.92635948348004,-14.8764941569049,-14.4201388292305,-7.72372071589792,6.69641811333263,-8.38086128462671,-11.3164393089683,11.6149181454245,19.2375954416952,7.62267729627075,18.434964132932,15.0449145419505,-1.90087976125515,50.513517178885,52.4143969401402,-1.90087976125515,50.513517178885,-0.531877581782814,2.47457701115712,3.00645459293994,0.686348756228467,0.567831786894894,-7.71761786272353,14.0733663871484,21.790984249872,-7.71761786272353,5.48061312293641,-5.75708921033994,34.7416666117511,40.498755822091,34.4439507387911,6.73408171599032,-6.56187972077515,8.73536295082041,15.2972426715956,-3.54959508655179,-6.55594468860033,-3.43989559388623,4.20203702473912,7.64193261862535,-2.08023804645376,2.96807760222964
P03_Base_0004,-14.0733577084023,11.6031384967354,25.6764962051377,4.04997787047096,-13.7262156103542,-14.3672528570517,-7.19438830415304,7.17286455289864,-8.28086914522721,-10.5211537202791,11.6735868907447,19.8919606135803,8.2183737228356,18.5549060993811,15.9398563350054,-1.71074466723989,50.6855924633891,52.396337130629,-1.71074466723989,50.6855924633891,-0.299476554823845,2.74883334214889,3.04830989697273,0.680706697271325,0.481364991423347,-7.35221790474127,12.8955554681903,20.2477733729316,-7.2051656816374,5.47053428993267,-6.18878748815145,34.4539629774059,40.6427504655573,33.7893961401253,6.16284103680648,-7.78788347916164,8.64218366995043,16.4300671491121,-3.75330015408956,-7.78788347916164,-3.8332903883783,3.48680893150404,7.32009931988235,-2.33366583674492,3.018948867473
