video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c
P11_Med_Side_2,1,0,1206.78,680.339,0.962052,1202.8,705.223,0.923033,1177.97,705.225,0.918578,1169.61,726.033,0.801803,1181.97,738.44,0.823565,1215.23,705.325,0.888401,1215.13,738.283,0.840501,1202.64,742.466,0.854316,1198.68,763.249,0.839226,1178.14,759.101,0.860226,1177.91,808.698,0.932932,1177.83,842.262,0.961461,1207.1,767.376,0.893547,1202.72,804.819,0.833498,1186.11,846.152,0.846006,1202.7,676.324,0.938362,1207.02,676.358,0.947519,1190.26,676.426,0.80113,1211.04,680.2,0.712305,1178.03,862.783,0.69864,1190.32,858.657,0.653657,1186.12,846.321,0.674745,1177.74,854.49,0.768898,1173.63,850.492,0.783465,1177.88,846.319,0.746215
P11_Med_Side_2,1,1,1011.97,659.634,0.0523573,1036.81,688.673,0.888171,1049.4,684.649,0.897735,1065.95,717.772,0.72461,1049.39,742.585,0.314372,1008.1,688.762,0.926069,1003.72,730.194,0.82778,983.089,767.335,0.730793,1036.92,755.063,0.914566,1045.17,755.03,0.934069,1041.01,813.061,0.939956,1036.95,866.987,0.847705,1016.15,759.101,0.90241,1012.25,813.104,0.933413,1016.12,870.963,0.887137,0.0,0.0,0.0,1012.01,659.635,0.0567357,1041.22,663.852,0.427962,1016.13,667.965,0.700706,1012.24,875.101,0.667394,1012.08,875.13,0.682518,1016.33,875.209,0.829159,1040.9,875.195,0.515874,1041.12,875.053,0.514902,1036.94,875.122,0.754626
P11_Med_Side_2,2,0,1206.73,680.344,0.959,1202.8,705.257,0.926559,1177.97,705.265,0.922648,1169.62,730.117,0.79829,1181.96,738.407,0.797492,1215.23,709.158,0.891068,1211.3,738.4,0.857982,1198.57,742.411,0.841901,1198.62,767.397,0.844856,1178.09,763.267,0.86509,1177.87,808.805,0.941005,1177.87,846.052,0.950005,1207.05,771.451,0.912492,1202.67,808.764,0.821641,1182.11,846.252,0.843236,1202.65,676.335,0.937158,1206.97,676.362,0.955806,1186.29,676.438,0.762868,1211.01,680.192,0.776156,1177.95,862.86,0.686938,1186.21,862.753,0.637404,1182.18,846.409,0.646179,1177.76,854.534,0.732177,1173.65,854.462,0.751142,1177.92,846.359,0.724141
P11_Med_Side_2,2,1,0.0,0.0,0.0,1032.75,684.706,0.877351,1045.42,684.559,0.913626,1065.93,713.72,0.804534,1045.4,738.394,0.36667,1008.0,688.76,0.933232,1003.58,730.125,0.802518,983.202,755.049,0.716604,1036.82,755.025,0.902801,1045.1,754.965,0.933335,1040.99,813.016,0.940145,1036.94,871.014,0.863962,1012.29,755.125,0.912607,1012.21,813.067,0.944959,1012.23,871.044,0.900885,0.0,0.0,0.0,0.0,0.0,0.0,1041.14,663.862,0.471914,1012.21,667.959,0.671803,1011.9,875.147,0.692737,1007.94,875.191,0.723852,1016.27,875.269,0.854793,1036.92,875.26,0.475358,1041.05,875.123,0.482801,1036.93,875.233,0.779849
P11_Med_Side_2,3,0,1206.78,680.375,0.964139,1202.79,705.236,0.925542,1177.96,705.226,0.91905,1169.57,726.059,0.794844,1181.95,738.445,0.799747,1215.22,705.353,0.896008,1211.28,738.351,0.854683,1202.61,742.451,0.852193,1198.52,763.316,0.827968,1178.01,759.165,0.868538,1177.79,808.706,0.924369,1177.83,842.211,0.954774,1207.0,767.436,0.892309,1202.74,804.827,0.834255,1182.12,846.18,0.859239,1202.7,676.364,0.940462,1207.01,676.407,0.948304,1190.25,680.201,0.786955,1211.02,680.235,0.720441,1177.98,862.847,0.698912,1186.26,858.698,0.65257,1182.16,846.335,0.661891,1177.78,850.532,0.755453,1173.66,850.466,0.777106,1177.87,846.259,0.737295
P11_Med_Side_2,3,1,0.0,0.0,0.0,1032.81,684.685,0.881406,1045.46,684.555,0.914776,1065.93,717.638,0.788031,1045.42,742.488,0.369191,1008.05,688.721,0.935585,1003.6,726.054,0.807486,987.208,755.046,0.698917,1036.82,754.966,0.912585,1045.09,751.017,0.952431,1041.02,812.93,0.954253,1040.82,866.864,0.858357,1012.29,755.042,0.919974,1012.27,812.95,0.943654,1016.19,866.974,0.881893,0.0,0.0,0.0,0.0,0.0,0.0,1041.22,663.878,0.408997,1012.25,667.993,0.655972,1012.1,875.079,0.697555,1011.98,875.12,0.728327,1020.34,875.108,0.836451,1036.97,875.112,0.503784,1041.08,871.096,0.507674,1040.85,875.034,0.779365
P11_Med_Side_2,4,0,1206.79,680.36,0.967814,1202.8,705.251,0.928546,1177.97,705.249,0.923213,1169.59,726.069,0.807489,1178.08,738.464,0.816377,1215.24,709.159,0.890663,1211.28,738.369,0.86175,1198.61,742.432,0.846808,1198.63,763.339,0.838373,1178.1,759.188,0.864072,1177.89,808.823,0.959698,1177.9,846.117,0.962333,1207.07,767.456,0.900931,1202.72,808.756,0.838607,1182.12,846.264,0.856304,1202.72,676.352,0.947317,1207.03,676.395,0.955523,1190.28,680.193,0.793402,1211.06,680.233,0.751911,1177.96,866.876,0.707825,1186.24,862.772,0.654305,1182.14,850.301,0.650744,1177.81,858.671,0.766685,1173.7,858.588,0.784911,1177.94,846.415,0.745135
P11_Med_Side_2,4,1,0.0,0.0,0.0,1032.72,684.67,0.877829,1045.38,684.578,0.922617,1061.78,717.735,0.768265,1045.25,742.481,0.350135,1008.01,688.694,0.935625,999.653,726.02,0.804421,987.173,759.139,0.67907,1036.76,751.047,0.90403,1045.05,750.996,0.948622,1040.99,812.978,0.940735,1036.98,870.976,0.86606,1012.25,754.99,0.923834,1012.26,812.981,0.937412,1016.24,870.963,0.870063,0.0,0.0,0.0,0.0,0.0,0.0,1041.15,667.896,0.422754,1012.19,671.965,0.650743,1012.17,875.112,0.653025,1012.04,875.156,0.682075,1020.41,875.187,0.820257,1040.87,875.262,0.483327,1041.11,875.147,0.489627,1040.81,875.19,0.775563
P11_Med_Side_2,5,0,0.0,0.0,0.0,1032.7,684.622,0.888194,1045.44,684.469,0.924328,1065.96,717.777,0.805994,1049.47,742.739,0.512678,1007.96,688.669,0.936819,1003.64,730.067,0.826828,991.364,755.118,0.723438,1036.82,751.002,0.912847,1045.1,750.97,0.95876,1040.99,812.931,0.940312,1036.99,870.926,0.863913,1016.11,751.043,0.909065,1016.13,812.944,0.930959,1016.28,870.987,0.870184,0.0,0.0,0.0,0.0,0.0,0.0,1041.11,663.879,0.426398,1012.11,667.92,0.632833,1011.99,875.141,0.685478,1011.92,875.182,0.724844,1020.46,875.195,0.828012,1036.91,875.225,0.452865,1041.04,875.072,0.45947,1040.84,875.164,0.777141
P11_Med_Side_2,5,1,1206.71,680.368,0.955654,1202.8,705.242,0.923655,1177.99,705.256,0.916154,1169.62,725.95,0.80685,1178.08,738.406,0.814479,1215.22,705.346,0.887475,1215.15,738.301,0.842478,1202.65,742.442,0.868635,1198.67,763.232,0.837541,1178.13,759.091,0.86129,1177.8,804.818,0.921261,1177.85,842.177,0.954019,1207.1,767.356,0.893696,1202.69,804.772,0.82974,1182.08,846.134,0.859429,1202.63,676.37,0.935089,1206.95,676.403,0.958303,1186.28,680.212,0.757797,1210.99,680.223,0.805043,1177.89,862.791,0.705131,1186.18,858.689,0.660572,1182.15,846.306,0.648686,1177.75,854.471,0.770051,1173.61,850.495,0.790301,1177.9,846.237,0.725066
