video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c
P14_Med_Front_2,1,0,1372.65,481.272,0.622907,1372.48,497.976,0.826214,1351.99,502.019,0.818465,1343.58,514.679,0.827356,1343.55,539.393,0.723408,1376.93,493.906,0.829754,1381.05,514.742,0.636926,1381.09,539.431,0.529194,1368.58,543.663,0.88019,1356.16,543.632,0.851146,1352.03,576.848,0.844211,1356.15,609.999,0.819741,1372.8,543.664,0.915748,1372.68,576.915,0.824574,1368.54,609.994,0.832519,1372.5,477.311,0.594843,1372.79,477.327,0.52491,1368.4,477.372,0.534905,1376.73,477.278,0.330825,1368.45,618.293,0.575994,1372.6,614.275,0.601138,1368.41,613.904,0.691626,1356.14,618.15,0.63409,1351.95,614.234,0.656375,1352.07,614.062,0.699981
P14_Med_Front_2,1,1,1870.36,527.078,0.256516,1899.26,547.566,0.851598,1907.45,543.754,0.834016,1903.32,576.759,0.242229,1890.87,589.123,0.0931268,1895.05,547.579,0.853791,1894.97,576.791,0.740201,1861.9,605.624,0.594727,1895.14,605.64,0.785627,1903.19,605.636,0.773153,1874.24,643.016,0.735967,1870.22,680.529,0.65091,1886.79,605.7,0.79467,1870.17,643.001,0.844344,1874.26,688.746,0.771932,0.0,0.0,0.0,1870.4,527.015,0.292446,1903.46,522.898,0.10055,1886.82,527.018,0.669028,1866.08,701.141,0.568565,1870.08,705.23,0.6179,1874.52,701.075,0.677631,1849.46,680.581,0.338797,1849.56,680.506,0.357741,1870.31,684.622,0.484788
P14_Med_Front_2,1,2,1787.27,543.607,0.633815,1795.51,551.941,0.781417,1774.93,547.96,0.861864,1758.27,576.519,0.691006,1762.5,576.839,0.589503,1807.86,556.099,0.837965,1803.92,580.934,0.769062,1783.26,580.893,0.5559,1774.84,601.55,0.609512,1770.59,593.38,0.591815,1737.65,597.556,0.346128,1729.2,647.242,0.218424,1779.17,605.675,0.586749,1745.81,609.918,0.336139,1741.61,651.353,0.232449,1783.24,543.379,0.463829,1795.59,543.486,0.634257,1787.24,543.544,0.190995,1803.89,543.623,0.700199,1737.6,667.932,0.149321,1741.62,663.815,0.166722,1741.75,651.498,0.175192,1729.18,659.719,0.146498,1725.12,663.764,0.148482,1725.07,651.353,0.1968
P14_Med_Front_2,2,0,1791.41,543.647,0.665352,1791.47,552.082,0.790308,1774.79,551.821,0.873558,1754.2,576.633,0.728169,1766.48,576.926,0.62823,1807.82,560.165,0.843026,1807.98,581.091,0.751254,0.0,0.0,0.0,1774.86,601.701,0.62491,1770.55,597.512,0.60376,1737.68,605.805,0.298555,1737.48,651.43,0.178606,1783.17,605.803,0.595605,1774.93,614.108,0.243293,1754.21,651.499,0.161872,1787.36,543.442,0.565666,1799.64,543.523,0.672632,1787.37,543.589,0.279732,1803.89,543.668,0.652083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.71,672.065,0.118168,1741.56,672.087,0.124731,1729.29,659.684,0.151491
P14_Med_Front_2,2,1,1372.56,481.357,0.610578,1368.61,502.085,0.81742,1351.97,502.166,0.812639,1343.6,514.728,0.801967,1343.61,539.432,0.705306,1376.81,498.037,0.827605,1377.11,514.82,0.631931,1380.99,539.473,0.550441,1368.54,543.77,0.877387,1356.17,543.74,0.852399,1356.1,580.754,0.831064,1360.22,610.107,0.808642,1372.74,543.773,0.910984,1372.64,580.798,0.807483,1368.56,610.116,0.818662,1368.62,477.403,0.582466,1372.69,477.426,0.520154,1364.42,481.216,0.524233,1372.84,477.377,0.345727,1364.5,618.362,0.555299,1372.54,618.205,0.571417,1368.45,614.049,0.684492,1356.16,618.2,0.614659,1352.03,614.287,0.625035,1356.12,614.151,0.675776
P14_Med_Front_2,2,2,1870.32,526.966,0.309129,1899.16,543.787,0.864441,1907.4,543.717,0.852317,1903.35,576.707,0.253079,1895.01,584.987,0.089954,1890.87,547.574,0.862064,1894.95,576.868,0.78795,1861.91,605.649,0.702726,1895.02,601.639,0.774181,1899.25,601.671,0.75754,1870.17,638.96,0.711799,1866.09,680.379,0.653691,1882.7,605.66,0.792461,1870.05,638.919,0.822576,1870.35,684.64,0.775684,0.0,0.0,0.0,1870.42,522.885,0.351885,1903.46,526.964,0.106728,1882.65,522.873,0.728146,1865.96,697.013,0.546178,1866.06,701.176,0.591144,1874.41,696.944,0.66607,1841.25,680.323,0.373435,1841.35,680.275,0.388183,1866.09,680.58,0.49687
P14_Med_Front_2,3,0,1372.63,481.411,0.562085,1368.6,502.13,0.828405,1352.1,502.202,0.811185,1343.68,514.76,0.80304,1343.74,539.463,0.710095,1376.72,502.087,0.822858,1376.96,518.78,0.587449,1376.95,543.371,0.515582,1368.54,547.598,0.881966,1360.27,547.571,0.861687,1356.16,580.836,0.83516,1360.23,613.9,0.79939,1372.65,547.58,0.910146,1372.59,580.863,0.805554,1368.52,613.917,0.810995,1372.51,477.452,0.542915,1372.73,481.241,0.451691,1368.41,481.288,0.547529,1372.79,481.245,0.300171,1364.43,618.369,0.549522,1368.64,618.208,0.567911,1364.5,614.12,0.677273,1352.08,618.182,0.587714,1351.97,614.287,0.597217,1356.11,614.206,0.66666
P14_Med_Front_2,3,1,1870.36,527.025,0.233335,1899.21,543.716,0.873748,1907.48,543.666,0.872049,1903.48,576.629,0.271348,1899.03,581.111,0.0897212,1886.79,543.764,0.855376,1886.81,576.774,0.74921,1861.87,601.627,0.605147,1899.13,601.601,0.797338,1903.33,601.619,0.781001,1874.3,638.981,0.743643,1870.3,680.418,0.65491,1886.83,601.638,0.792767,1870.11,638.964,0.835414,1870.38,688.618,0.789775,0.0,0.0,0.0,1870.4,526.956,0.263211,1903.43,518.858,0.136674,1882.63,522.891,0.708764,1865.96,697.015,0.551036,1866.07,705.117,0.597616,1874.41,701.023,0.691842,1845.46,680.4,0.35116,1849.53,680.363,0.362365,1874.34,684.528,0.491152
P14_Med_Front_2,3,2,1787.38,543.738,0.551954,1795.64,552.054,0.723941,1775.03,551.836,0.797782,1762.49,576.58,0.624286,1766.57,576.891,0.534309,1807.85,556.138,0.792773,1807.91,580.905,0.705989,1783.25,580.834,0.489604,1775.09,597.562,0.500358,1770.87,593.393,0.508148,1741.88,597.482,0.225835,1737.55,655.467,0.140653,1787.39,605.626,0.477127,1754.17,609.943,0.213808,1741.79,655.548,0.145472,1787.37,543.531,0.397613,1795.63,543.623,0.559372,1791.5,543.657,0.162978,1803.89,543.716,0.615679,1741.71,676.127,0.0867387,1741.71,676.119,0.098954,1774.84,663.804,0.104188,1741.48,672.107,0.0870371,1741.41,672.174,0.0932898,1737.47,659.721,0.130468
P14_Med_Front_2,4,0,1787.38,543.678,0.676884,1795.57,552.059,0.790298,1774.87,551.811,0.873368,1758.2,576.613,0.72226,1766.48,576.891,0.640619,1807.9,560.143,0.839513,1808.01,581.077,0.772632,1783.25,581.008,0.542741,1775.05,601.673,0.609379,1770.74,597.5,0.60316,1741.79,597.556,0.28537,1741.56,647.348,0.165324,1791.46,605.786,0.586025,1779.02,610.062,0.265466,0.0,0.0,0.0,1787.34,543.46,0.550351,1799.61,543.55,0.690634,1791.36,543.611,0.222664,1803.88,543.696,0.710936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.56,659.743,0.0979213,1737.53,663.888,0.102732,1737.54,655.592,0.139575
P14_Med_Front_2,4,1,1870.42,526.95,0.293435,1899.24,543.721,0.884743,1907.51,543.645,0.865853,1903.55,576.581,0.24123,1899.18,581.094,0.0842439,1890.86,543.789,0.86261,1886.73,576.795,0.755035,1861.88,605.713,0.674758,1899.19,601.656,0.815994,1903.34,601.668,0.793005,1874.38,639.014,0.768503,1874.36,680.429,0.67603,1890.94,601.684,0.807697,1870.25,638.903,0.85912,1874.34,684.604,0.803908,0.0,0.0,0.0,1874.37,522.918,0.341412,1903.45,518.857,0.134324,1886.76,522.875,0.730489,1870.04,696.936,0.607041,1870.14,701.086,0.642783,1878.46,696.949,0.664493,1853.68,680.422,0.332691,1861.88,680.446,0.348583,1874.43,684.491,0.499724
P14_Med_Front_2,4,2,1372.51,481.409,0.466614,1368.61,502.141,0.831226,1364.38,502.198,0.802418,1343.94,514.818,0.677083,1347.83,539.396,0.570577,1372.71,502.101,0.794498,1372.82,518.869,0.541008,1372.76,543.358,0.454471,1368.54,547.618,0.879167,1364.49,547.592,0.868601,1364.39,580.851,0.82653,1360.33,613.909,0.790102,1368.63,547.607,0.884088,1368.63,580.833,0.794659,1368.42,613.932,0.796551,1368.64,477.419,0.42677,1372.59,477.439,0.373744,1368.48,481.252,0.471541,1372.59,481.278,0.349657,1364.45,618.314,0.530475,1368.56,618.171,0.547169,1364.45,614.145,0.673564,1356.12,618.188,0.553741,1356.11,614.265,0.563118,1356.17,614.214,0.653636
P14_Med_Front_2,5,0,1783.29,543.584,0.718025,1791.49,552.069,0.803213,1774.8,548.003,0.900341,1754.14,576.606,0.755766,1762.44,576.894,0.658431,1807.9,560.177,0.861597,1807.97,581.109,0.812634,1783.27,581.005,0.588025,1774.97,601.7,0.655094,1770.65,597.49,0.635252,1737.64,605.698,0.338583,1737.46,651.329,0.213874,1787.32,605.829,0.630391,1774.84,614.052,0.269385,1750.1,651.498,0.187396,1783.23,543.362,0.594591,1795.61,543.458,0.724004,1783.21,543.562,0.225666,1803.85,543.634,0.751329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.51,663.923,0.135571,1737.49,667.965,0.141718,1733.4,655.599,0.178629
P14_Med_Front_2,5,1,1372.55,481.463,0.502394,1372.47,502.115,0.831781,1356.22,502.171,0.790341,1343.76,514.716,0.765085,1343.84,539.355,0.65078,1376.75,502.085,0.81702,1377.01,518.735,0.632027,1376.87,539.508,0.54516,1368.63,547.561,0.891591,1364.36,547.541,0.859778,1356.2,580.778,0.810718,1356.22,613.87,0.78769,1372.71,547.547,0.913371,1372.62,580.811,0.800041,1368.47,613.909,0.807965,1372.47,481.248,0.469995,1372.65,481.267,0.423941,1368.47,481.295,0.456012,1372.76,481.269,0.35385,1360.35,622.32,0.550744,1368.56,618.291,0.56357,1364.47,614.132,0.677481,1352.01,618.187,0.57726,1348.01,614.274,0.584709,1352.09,614.188,0.651119
P14_Med_Front_2,5,2,1870.45,526.996,0.330605,1899.19,543.761,0.881017,1907.42,543.675,0.873119,1903.38,576.607,0.269468,1895.06,581.1,0.0950437,1890.88,547.573,0.860606,1890.9,576.786,0.705202,1861.83,605.692,0.597508,1899.09,601.619,0.810697,1903.21,601.621,0.790806,1874.21,638.93,0.752368,1874.28,680.454,0.659836,1890.87,601.667,0.810615,1870.1,634.848,0.82853,1870.34,680.599,0.735771,0.0,0.0,0.0,1874.42,522.944,0.381147,1903.39,522.829,0.118468,1886.83,522.907,0.725445,1866.03,692.776,0.554351,1870.07,696.923,0.572483,1874.37,688.762,0.603172,1849.51,680.38,0.344855,1857.77,680.445,0.35487,1874.35,684.564,0.505336
P14_Med_Front_2,6,0,1787.26,543.595,0.731081,1791.47,555.958,0.808008,1774.75,548.008,0.904916,1754.15,576.645,0.770925,1762.44,576.928,0.666928,1807.89,560.17,0.867623,1808.15,581.12,0.812195,1795.63,585.07,0.592454,1775.0,605.665,0.715044,1770.67,601.557,0.692303,1737.71,605.796,0.425641,1737.46,651.444,0.274642,1791.46,609.675,0.688611,1778.99,614.205,0.346988,0.0,0.0,0.0,1783.23,543.385,0.63882,1795.63,543.48,0.732867,1783.22,543.508,0.287055,1803.85,543.646,0.71806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.54,668.001,0.19862,1737.47,672.029,0.201769,1733.42,659.66,0.230852
P14_Med_Front_2,6,1,1372.54,481.469,0.612446,1372.47,502.15,0.850458,1352.09,506.104,0.814153,1343.71,514.785,0.823904,1343.68,539.427,0.687322,1376.84,502.077,0.84835,1381.01,518.713,0.682382,1377.09,539.523,0.593809,1372.48,547.537,0.918759,1360.33,543.768,0.876957,1356.11,580.752,0.820047,1356.18,610.108,0.79022,1372.85,547.527,0.939144,1372.72,580.833,0.82867,1368.65,613.939,0.834123,1368.62,481.258,0.573637,1372.66,481.283,0.539517,1364.5,481.35,0.493209,1372.83,481.321,0.430017,1364.43,622.371,0.579743,1372.55,618.343,0.602782,1368.55,614.149,0.70338,1347.97,618.137,0.605768,1347.91,614.249,0.612078,1352.1,614.128,0.650853
