video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P02_Med_Side_3,109,0,402.686,638.888,0.842616,369.366,684.471,0.899487,332.137,684.611,0.855444,311.52,755.07,0.906114,315.442,825.462,0.929715,402.7,680.502,0.920425,410.709,750.866,0.884513,443.968,809.045,0.906518,377.761,817.186,0.910154,352.919,817.326,0.830046,390.294,912.398,0.846767,348.982,1012.18,0.848043,394.328,813.235,0.838374,381.983,912.622,0.852266,352.899,1011.97,0.805185,386.126,626.489,0.804674,402.639,626.449,0.270801,361.156,638.772,0.835324,0.0,0.0,0.0,402.638,1036.86,0.438846,394.281,1028.59,0.396268,340.427,1024.47,0.394999,394.402,1037.01,0.76153,381.871,1041.05,0.828544,344.476,1032.68,0.790253,328.0018350345009
P02_Med_Side_3,110,0,410.86,642.95,0.877657,377.542,684.519,0.928905,340.532,684.673,0.882851,315.676,755.092,0.880231,315.565,821.424,0.930793,410.8,684.474,0.923631,414.956,750.847,0.890377,448.34,808.742,0.869346,377.89,817.297,0.896236,353.062,817.363,0.807821,410.765,908.423,0.835338,373.631,1011.93,0.859901,398.475,817.231,0.822943,381.896,912.763,0.857122,352.931,1012.15,0.814845,398.562,634.749,0.747699,410.918,630.708,0.369318,373.538,638.927,0.841482,0.0,0.0,0.0,411.043,1036.82,0.295658,410.722,1024.53,0.281123,336.359,1028.64,0.547515,419.267,1036.84,0.843816,406.805,1040.96,0.863665,352.878,1020.43,0.732016,328.9265690849554
P02_Med_Side_3,111,0,415.203,638.878,0.874547,377.838,680.556,0.976922,344.543,684.579,0.914095,319.858,759.1,0.841294,315.636,825.455,0.933107,411.068,680.435,0.94511,419.255,746.862,0.909666,464.783,804.6,0.848536,381.819,817.167,0.905502,365.245,817.261,0.807888,415.298,904.102,0.826453,390.141,1008.01,0.851182,406.613,813.206,0.848736,381.887,912.776,0.882352,353.005,1012.27,0.835421,410.973,626.451,0.854256,415.079,630.574,0.189771,377.924,638.919,0.881384,0.0,0.0,0.0,415.077,1036.87,0.250586,410.948,1036.77,0.221737,344.389,1028.66,0.708399,443.88,1036.82,0.904002,419.355,1040.92,0.874856,377.766,1016.26,0.718846,326.6294373827932
P02_Med_Side_3,112,0,419.325,638.92,0.854189,382.023,684.495,0.952989,348.723,684.683,0.909973,327.962,759.205,0.824053,315.698,825.495,0.929739,419.2,680.553,0.939691,435.746,750.811,0.87018,477.054,804.714,0.882496,386.135,821.408,0.831192,373.632,825.497,0.8162,423.408,908.206,0.808026,415.075,1012.14,0.940305,410.993,817.332,0.873385,381.986,920.832,0.874419,348.939,1016.31,0.872789,415.027,626.526,0.859579,419.229,630.579,0.200301,385.993,638.965,0.862886,0.0,0.0,0.0,386.061,1036.81,0.372731,377.809,1028.65,0.322866,344.465,1032.76,0.78703,456.522,1032.79,0.866104,444.118,1040.91,0.910216,410.851,1024.55,0.818395,334.1117698510485
P02_Med_Side_3,113,0,427.545,638.936,0.835311,390.168,684.605,0.906043,352.997,684.679,0.871369,340.339,759.162,0.850638,319.638,821.289,0.908481,423.428,684.524,0.894381,443.978,750.849,0.931826,481.276,796.473,0.889225,402.644,813.121,0.875328,377.927,813.203,0.882492,439.808,904.292,0.801171,439.924,1016.19,0.86844,415.223,813.074,0.905157,390.27,912.606,0.874319,348.878,1016.28,0.905382,415.258,630.56,0.835656,427.434,630.638,0.174754,390.208,638.945,0.852531,0.0,0.0,0.0,390.18,1040.9,0.61613,381.94,1032.74,0.557341,344.381,1036.78,0.816135,481.293,1028.57,0.793401,468.979,1040.84,0.839249,423.457,1036.89,0.82197,342.7183193965564
P02_Med_Side_3,114,0,431.733,643.151,0.819733,406.617,692.815,0.873501,373.515,692.891,0.845588,344.503,763.386,0.879923,328.032,829.691,0.842225,435.776,688.783,0.859535,448.057,755.088,0.923429,489.625,792.378,0.846365,410.823,817.22,0.889969,386.082,817.334,0.823343,444.001,912.599,0.857171,456.462,1020.41,0.844002,419.348,813.274,0.844652,394.38,912.619,0.865699,348.923,1016.2,0.92021,419.225,638.863,0.799007,431.691,638.802,0.278168,398.548,642.958,0.833503,0.0,0.0,0.0,406.682,1040.96,0.778553,390.171,1028.65,0.655414,340.431,1032.73,0.792812,506.28,1020.29,0.772449,493.876,1036.85,0.803647,448.238,1041.02,0.908403,337.85929048939886
P02_Med_Side_3,115,0,440.005,643.229,0.879887,410.863,692.848,0.907778,377.67,692.888,0.873328,348.619,767.406,0.868803,336.294,829.708,0.847156,444.018,692.88,0.901643,448.184,759.221,0.902205,502.034,792.371,0.831737,411.049,829.558,0.880525,394.385,829.714,0.795205,444.214,916.676,0.878994,477.058,1020.43,0.880584,423.442,825.516,0.802594,394.327,920.869,0.829361,348.985,1016.27,0.910711,427.464,638.945,0.799642,439.94,638.873,0.366991,406.814,643.043,0.883699,0.0,0.0,0.0,406.834,1040.99,0.838193,394.367,1028.65,0.680879,340.411,1032.69,0.764391,518.799,1016.15,0.810411,510.561,1032.73,0.848896,468.91,1041.04,0.842254,342.2889660915174
P02_Med_Side_3,116,0,448.076,647.3,0.940709,414.897,697.018,0.922094,381.749,701.071,0.888821,352.849,775.543,0.903822,344.401,837.989,0.890155,448.045,696.949,0.916972,452.418,759.125,0.854897,510.229,796.407,0.871222,415.019,837.768,0.896507,402.689,837.913,0.838108,448.36,920.912,0.87314,489.676,1020.38,0.863634,431.631,833.775,0.809388,398.45,924.944,0.827014,348.885,1016.31,0.916313,439.976,643.03,0.891238,448.127,642.927,0.398428,410.998,643.122,0.942687,0.0,0.0,0.0,410.79,1040.99,0.766948,398.478,1028.64,0.653545,340.303,1032.71,0.781293,539.453,1012.03,0.848932,531.199,1024.42,0.809125,485.471,1041.04,0.868201,337.05559602237724
P02_Med_Side_3,117,0,448.483,647.276,0.901036,415.288,701.013,0.904023,386.014,701.1,0.866956,361.204,771.48,0.856439,344.701,837.856,0.944839,448.388,696.99,0.906799,460.646,755.077,0.841008,510.549,788.268,0.899036,419.25,837.892,0.878108,410.951,841.85,0.887293,456.522,920.83,0.822433,510.23,1016.33,0.889642,439.938,833.859,0.838379,402.687,920.824,0.836249,348.939,1012.26,0.918529,448.06,642.994,0.900227,452.364,642.913,0.342809,419.163,643.1,0.909725,0.0,0.0,0.0,406.717,1040.9,0.74239,394.386,1028.58,0.647488,340.312,1024.52,0.789783,551.846,1011.93,0.848207,543.72,1020.4,0.860799,506.184,1040.92,0.811778,338.8208487622921
P02_Med_Side_3,118,0,456.637,647.298,0.865535,423.474,705.188,0.887854,394.319,705.288,0.861133,373.53,771.636,0.892336,348.969,837.902,0.945077,456.625,705.103,0.859164,477.141,763.29,0.884501,518.759,796.423,0.855508,431.642,837.943,0.853878,415.035,841.851,0.89809,464.9,920.908,0.807318,518.689,1016.26,0.90633,444.268,837.826,0.879108,406.688,920.912,0.834093,348.958,1012.23,0.914941,448.34,643.082,0.902087,456.653,642.936,0.375167,423.363,647.112,0.886962,0.0,0.0,0.0,402.551,1040.99,0.73019,390.169,1032.74,0.653694,340.334,1024.44,0.812928,568.443,1007.98,0.833037,556.116,1016.24,0.842957,514.756,1040.88,0.874498,334.92011239099986
