video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P11_Med_Front_2,86,0,1376.69,543.76,0.411318,1376.91,568.459,0.937671,1372.78,568.367,0.840434,1356.2,589.212,0.724666,1347.85,614.024,0.789222,1385.16,568.475,0.79513,1409.84,589.123,0.861616,1410.07,618.213,0.854376,1377.07,622.377,0.876803,1376.83,622.372,0.924865,1376.94,676.08,0.893534,1376.81,709.462,0.875571,1385.16,622.364,0.826896,1381.0,676.095,0.882451,1376.99,709.542,0.868767,1376.8,543.638,0.286559,1376.76,543.573,0.366554,1376.85,543.608,0.414165,1376.88,543.565,0.646536,1376.82,717.643,0.60363,1376.92,713.699,0.634333,1376.97,713.51,0.732226,1376.75,713.705,0.602974,1372.81,713.633,0.616962,1376.78,713.536,0.747845,141.15254133383505
P11_Med_Front_2,87,0,1376.67,543.747,0.50424,1376.93,568.458,0.934262,1372.63,568.381,0.853793,1352.02,589.281,0.776872,1343.93,614.135,0.854676,1393.48,568.426,0.811446,1409.94,589.253,0.897642,1410.17,618.348,0.877582,1377.1,626.433,0.858812,1376.74,626.438,0.916098,1376.87,676.205,0.894912,1376.8,709.499,0.870393,1389.34,626.449,0.81105,1381.11,676.206,0.876471,1377.04,713.366,0.858842,1376.72,543.603,0.352096,1376.82,543.532,0.45325,1376.76,543.612,0.373911,1376.99,543.562,0.674604,1376.87,717.732,0.593218,1377.0,713.776,0.618697,1377.02,713.566,0.717171,1376.73,713.747,0.593798,1372.76,713.677,0.611693,1376.78,713.554,0.738485,141.1795977611497
P11_Med_Front_2,88,0,1376.7,547.637,0.0579237,1376.9,568.538,0.923931,1368.56,572.525,0.812206,1352.07,597.471,0.872468,1352.09,614.154,0.85289,1397.56,568.443,0.868219,1406.04,593.404,0.690824,1410.03,618.261,0.644305,1377.01,618.355,0.921501,1372.84,618.316,0.882835,1376.75,672.174,0.859137,1376.76,709.431,0.867708,1385.21,618.343,0.903723,1385.18,676.042,0.89436,1377.06,709.517,0.856728,0.0,0.0,0.0,0.0,0.0,0.0,1372.68,543.639,0.551329,1381.12,543.625,0.569538,1380.97,713.734,0.54659,1381.0,713.69,0.575801,1376.96,713.631,0.747288,1376.74,713.612,0.524495,1372.81,713.464,0.540799,1376.82,713.468,0.77511,142.55568552674433
P11_Med_Front_2,89,0,1376.71,547.569,0.11719,1376.9,572.467,0.935773,1368.64,572.634,0.80074,1360.26,597.433,0.854605,1364.48,613.904,0.787089,1393.46,568.502,0.87001,1405.99,597.474,0.585395,1409.96,618.18,0.46356,1376.98,622.344,0.913648,1372.89,622.31,0.885854,1376.74,672.092,0.86518,1376.71,709.414,0.869337,1381.17,622.318,0.871989,1381.17,676.027,0.885497,1377.1,709.446,0.857983,1372.84,543.737,0.0866361,1376.97,543.505,0.0906598,1372.76,543.691,0.566448,1381.01,543.674,0.567881,1381.04,713.615,0.557261,1381.09,713.571,0.575155,1376.99,713.551,0.753217,1376.8,713.514,0.537195,1372.83,709.588,0.549121,1376.74,713.445,0.791064,141.8903123402018
P11_Med_Front_2,90,0,1376.8,547.661,0.0767361,1376.9,572.499,0.937051,1368.57,572.652,0.815996,1356.15,593.417,0.863782,1356.19,613.929,0.800547,1397.52,568.542,0.881432,1405.98,597.454,0.639364,1409.95,618.205,0.496592,1376.97,622.339,0.918078,1372.82,618.385,0.877273,1376.7,672.031,0.870172,1376.7,709.455,0.879764,1385.13,622.317,0.888877,1385.12,676.037,0.879573,1380.99,709.494,0.88013,0.0,0.0,0.0577765,1377.11,543.59,0.0,1372.7,543.761,0.586994,1381.1,543.718,0.52363,1385.13,713.687,0.5753,1385.16,713.647,0.581959,1377.03,713.608,0.779166,1376.85,713.531,0.565672,1372.83,709.592,0.571552,1376.75,713.509,0.802093,141.91795941317645
P11_Med_Front_2,91,0,1376.68,547.633,0.780941,1376.93,572.436,0.945156,1368.42,572.452,0.863081,1347.91,589.21,0.80918,1343.89,610.014,0.850292,1401.67,568.493,0.871824,1409.88,589.279,0.909764,1410.0,614.191,0.897153,1376.98,622.436,0.911455,1372.59,622.44,0.922147,1372.66,676.12,0.906803,1372.92,709.428,0.913144,1393.43,622.399,0.85927,1385.2,676.039,0.873261,1385.23,709.481,0.881424,1372.84,543.686,0.670434,1376.88,543.649,0.742758,1372.7,543.782,0.428771,1381.0,543.647,0.717737,1381.07,721.783,0.707397,1389.36,717.674,0.710066,1389.25,713.402,0.755517,1372.72,713.785,0.683425,1372.55,713.64,0.714849,1376.73,713.407,0.760254,137.0498981247341
P11_Med_Front_2,92,0,1376.71,547.663,0.755569,1376.87,572.518,0.961419,1368.43,572.529,0.86204,1347.92,589.266,0.803163,1343.93,610.083,0.824322,1397.65,572.483,0.857765,1406.11,589.239,0.894634,1409.94,613.998,0.913052,1376.96,626.501,0.909361,1372.67,626.519,0.932611,1372.75,676.154,0.925486,1376.72,709.475,0.916617,1389.33,626.462,0.852788,1385.16,676.075,0.886114,1385.16,709.487,0.88299,1372.89,543.717,0.667109,1376.9,543.688,0.707268,1372.76,547.564,0.495749,1380.96,543.697,0.681335,1381.12,721.82,0.690222,1389.37,717.672,0.69727,1385.17,713.41,0.744705,1372.87,717.698,0.678003,1372.69,713.725,0.704625,1376.74,713.462,0.785046,137.19668733610155
P11_Med_Front_2,93,0,1376.71,547.654,0.832367,1376.91,572.57,0.964015,1368.42,572.611,0.882489,1347.89,593.369,0.818507,1343.91,613.929,0.833796,1401.64,572.497,0.878272,1409.85,593.31,0.897322,1409.94,614.046,0.915117,1376.95,630.619,0.911162,1372.62,630.645,0.922264,1372.67,676.226,0.926283,1372.84,709.483,0.915619,1389.4,630.568,0.849564,1385.21,676.144,0.89586,1381.15,709.483,0.895905,1372.84,543.683,0.73845,1376.91,543.658,0.802779,1372.69,547.545,0.491833,1381.06,543.692,0.720573,1381.12,721.784,0.698953,1389.38,713.758,0.708999,1381.1,713.4,0.750434,1372.84,717.741,0.704304,1372.6,713.777,0.720392,1372.81,713.485,0.79339,136.9433488125655
P11_Med_Front_2,94,0,1372.87,547.727,0.761686,1376.82,572.611,0.984375,1364.44,572.648,0.877605,1347.88,597.432,0.813369,1343.85,613.973,0.831229,1397.56,572.561,0.864796,1406.08,593.394,0.896304,1409.89,614.077,0.916779,1376.89,630.698,0.914786,1372.6,630.703,0.915965,1372.71,676.333,0.942233,1372.89,709.571,0.912756,1385.28,630.644,0.854525,1385.19,676.207,0.899074,1385.16,709.534,0.880971,1372.78,543.783,0.62956,1376.77,543.745,0.739866,1372.7,547.615,0.435613,1377.11,543.74,0.741464,1385.1,721.81,0.689697,1393.39,717.678,0.697906,1385.14,713.444,0.742629,1372.79,717.83,0.675157,1372.6,717.654,0.704371,1372.88,713.565,0.787385,137.18349182390716
P11_Med_Front_2,95,0,1376.69,547.79,0.674855,1376.82,572.659,0.986587,1368.48,572.672,0.873655,1347.83,593.343,0.789531,1343.94,609.954,0.739674,1393.44,572.658,0.85085,1406.09,593.348,0.873477,1409.91,613.886,0.905256,1376.9,634.688,0.903638,1372.72,634.691,0.915306,1372.8,676.279,0.938359,1372.89,713.38,0.90867,1385.18,630.701,0.84736,1385.11,676.211,0.897865,1381.03,709.568,0.884708,1372.93,547.599,0.581216,1376.85,547.583,0.631429,1372.87,547.673,0.504684,1377.09,547.557,0.672257,1385.1,717.79,0.656117,1389.29,713.751,0.665249,1380.96,713.511,0.727845,1376.76,721.817,0.681904,1372.72,717.78,0.704461,1372.85,713.636,0.797536,140.77709104822415
