video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P10_Med_Front_2,68,0,0.0,0.0,0.0,1372.73,560.15,0.896872,1389.31,560.155,0.830747,1405.67,585.017,0.881418,1405.83,610.029,0.910543,1347.97,556.043,0.840298,1343.81,585.154,0.827863,1343.75,609.987,0.77868,1372.83,610.122,0.961508,1380.99,613.905,0.941353,1377.04,647.324,0.914676,1372.87,684.579,0.862371,1368.4,613.858,0.878818,1368.45,647.415,0.816311,1368.44,680.654,0.788974,0.0,0.0,0.0,0.0,0.0,0.0,1377.06,543.422,0.54289,1364.47,543.462,0.509456,1368.51,692.766,0.443909,1368.5,684.628,0.487903,1364.48,692.849,0.630659,1376.93,697.009,0.570003,1376.95,696.912,0.585425,1372.7,696.995,0.733323,125.50539978821628
P10_Med_Front_2,69,0,0.0,0.0,0.0,1372.74,556.101,0.902351,1389.34,556.107,0.837461,1405.66,584.976,0.88827,1405.72,610.032,0.902827,1347.95,552.043,0.846977,1343.77,585.077,0.841788,1343.76,609.997,0.799854,1372.83,610.063,0.961563,1380.98,610.123,0.948646,1377.0,647.321,0.933405,1372.84,688.639,0.86872,1364.49,610.071,0.874679,1368.44,647.387,0.818104,1368.41,684.525,0.772907,0.0,0.0,0.0,0.0,0.0,0.0,1377.03,539.517,0.564437,1364.48,543.354,0.518569,1368.57,696.932,0.427509,1368.54,688.631,0.457291,1364.44,696.922,0.619155,1376.94,701.154,0.616483,1376.99,701.094,0.632772,1372.67,701.104,0.768802,133.55516097852606
P10_Med_Front_2,70,0,0.0,0.0,0.0,1372.74,560.223,0.888762,1389.36,560.173,0.833772,1405.71,585.104,0.886576,1405.76,610.084,0.895068,1347.98,556.125,0.830382,1343.78,589.134,0.813187,1343.72,609.981,0.678812,1372.81,613.881,0.960958,1381.02,613.955,0.940631,1377.05,647.409,0.90361,1372.91,688.648,0.85494,1364.42,613.873,0.875795,1364.51,651.315,0.807092,1368.44,684.602,0.780837,0.0,0.0,0.0,0.0,0.0,0.0,1377.04,543.446,0.546865,1364.51,543.514,0.516136,1368.6,696.997,0.465737,1368.51,688.719,0.495113,1364.5,697.039,0.642034,1376.95,705.113,0.605462,1377.01,701.105,0.613263,1372.75,701.096,0.752128,129.5238515679641
P10_Med_Front_2,71,0,0.0,0.0,0.0,1372.78,564.263,0.883844,1393.39,564.244,0.827487,1405.74,585.09,0.870958,1405.89,610.038,0.888618,1348.01,560.171,0.821908,1343.83,589.137,0.812077,1343.74,609.975,0.70444,1372.86,613.939,0.956061,1381.05,613.992,0.927732,1377.09,647.459,0.882635,1376.68,688.697,0.838456,1368.4,613.932,0.876388,1368.51,651.386,0.806176,1368.49,684.721,0.764371,0.0,0.0,0.0,0.0,0.0,0.0,1377.09,543.474,0.53437,1368.44,543.546,0.514578,1372.52,701.038,0.467929,1368.57,688.784,0.495793,1368.44,701.12,0.639777,1376.95,705.148,0.577096,1377.01,701.109,0.579193,1372.78,701.125,0.739387,125.56979457258021
P10_Med_Front_2,72,0,0.0,0.0,0.0,1372.74,564.386,0.879284,1389.31,564.335,0.817236,1405.67,585.087,0.840063,1405.9,610.051,0.798099,1348.01,564.27,0.816516,1343.88,589.174,0.796327,1343.82,610.01,0.669738,1372.86,614.009,0.971642,1381.01,614.056,0.932046,1377.03,651.404,0.874716,1372.93,688.701,0.847859,1368.41,614.003,0.886569,1368.58,651.516,0.804985,1368.56,688.698,0.748654,0.0,0.0,0.0,0.0,0.0,0.0,1377.03,543.535,0.475099,1364.48,543.635,0.475847,1372.56,701.079,0.482527,1368.65,692.808,0.498621,1368.51,701.178,0.62832,1376.9,705.126,0.574647,1376.96,701.087,0.580458,1372.77,701.129,0.737269,125.44005084501516
P10_Med_Front_2,73,0,0.0,0.0,0.0,1372.83,568.428,0.864712,1389.38,568.474,0.805082,1405.65,589.129,0.732169,1405.8,609.89,0.624319,1352.08,568.356,0.789457,1347.87,593.288,0.727425,1343.88,610.061,0.603041,1372.92,614.07,0.945723,1381.07,614.122,0.898216,1377.06,651.429,0.852297,1376.69,688.706,0.832065,1368.52,614.057,0.87761,1372.45,651.515,0.798685,1368.61,688.692,0.755472,0.0,0.0,0.0,0.0,0.0,0.0,1377.08,543.617,0.435136,1368.41,543.752,0.446827,1372.61,701.067,0.492726,1368.66,692.819,0.506945,1368.57,701.151,0.640774,1376.93,705.149,0.56918,1376.98,701.128,0.576338,1372.8,701.131,0.729588,120.89983425960514
P10_Med_Front_2,74,0,0.0,0.0,0.0,1372.81,568.434,0.893281,1393.38,568.466,0.832625,1405.75,589.177,0.834919,1405.99,609.907,0.811082,1352.02,568.358,0.820719,1343.92,589.286,0.779157,1343.94,609.967,0.603038,1372.87,614.126,0.965019,1381.04,614.174,0.923549,1380.99,651.52,0.852906,1376.73,692.762,0.845335,1368.43,614.088,0.883129,1368.56,655.48,0.807277,1368.53,688.807,0.762175,0.0,0.0,0.0,0.0,0.0,0.0,1377.13,543.687,0.53514,1368.42,543.757,0.522462,1372.61,701.156,0.507372,1368.61,692.93,0.513818,1368.49,705.181,0.661324,1376.99,705.282,0.61201,1377.05,705.172,0.607796,1372.82,705.129,0.761608,125.4062124298473
P10_Med_Front_2,75,0,0.0,0.0,0.0,1372.76,568.47,0.911154,1389.37,568.487,0.839652,1405.76,589.203,0.844164,1406.0,609.847,0.802642,1351.94,568.413,0.840667,1343.89,593.288,0.807162,1343.8,610.042,0.721669,1372.87,614.181,0.965316,1381.04,614.234,0.922119,1380.97,655.482,0.861738,1376.73,692.763,0.863331,1368.43,614.147,0.880373,1368.58,655.543,0.807426,1368.54,688.773,0.767145,0.0,0.0,0.0,0.0,0.0,0.0,1377.04,543.619,0.583033,1364.41,543.706,0.552683,1372.59,701.165,0.516171,1368.6,692.927,0.520988,1368.51,705.146,0.660749,1376.96,705.273,0.624207,1377.03,705.171,0.623319,1372.83,705.137,0.780867,124.91714764594977
P10_Med_Front_2,76,0,0.0,0.0,0.0,1372.81,572.434,0.88676,1389.39,572.487,0.814389,1405.74,589.291,0.789627,1405.94,610.0,0.735589,1352.08,568.5,0.808701,1347.84,593.383,0.719067,1343.95,609.949,0.564069,1372.89,614.184,0.946438,1381.06,614.244,0.898539,1380.95,655.486,0.834718,1376.73,688.764,0.842217,1368.45,614.148,0.86516,1368.6,655.53,0.792697,1368.64,688.759,0.760034,0.0,0.0,0.0,0.0,0.0,0.0,1377.05,543.689,0.478527,1364.48,547.606,0.457482,1372.6,701.173,0.517855,1368.62,696.936,0.517878,1368.6,705.142,0.6585,1376.96,705.259,0.592886,1377.01,705.174,0.598174,1372.82,701.185,0.743558,116.96416685891458
P10_Med_Front_2,77,0,0.0,0.0,0.0,1372.82,572.459,0.909121,1393.42,572.484,0.825386,1405.82,589.285,0.824006,1405.79,609.987,0.737879,1352.06,572.429,0.829226,1343.94,593.389,0.763698,1343.94,609.992,0.618743,1372.91,614.252,0.947686,1381.12,614.304,0.893592,1380.97,659.612,0.836662,1376.76,692.793,0.848284,1368.47,614.208,0.876386,1368.62,655.623,0.792445,1372.47,692.768,0.765264,0.0,0.0,0.0,0.0,0.0,0.0,1377.06,543.729,0.489558,1364.47,547.664,0.472439,1372.67,705.148,0.53175,1372.48,697.021,0.52776,1372.51,705.185,0.669845,1376.99,705.327,0.607015,1377.04,705.239,0.611437,1372.87,705.164,0.756297,121.45703388853194
