video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P12_Med_Side_2,115,0,576.732,642.916,0.880481,543.456,692.881,0.894416,514.409,696.923,0.896348,506.225,767.43,0.83388,489.789,833.775,0.830826,564.389,692.8,0.820176,580.799,751.027,0.883348,610.101,808.773,0.935743,547.753,829.703,0.858715,535.243,833.812,0.811293,560.198,916.833,0.817688,531.081,1016.25,0.799634,572.54,829.573,0.797041,560.247,925.036,0.771695,535.302,1016.15,0.776756,564.392,634.719,0.777657,576.609,630.594,0.244938,543.358,642.918,0.893201,0.0,0.0,0.0,576.636,1040.94,0.516308,572.581,1032.83,0.490961,514.725,1032.76,0.401783,568.503,1041.04,0.785313,547.865,1045.06,0.813001,514.616,1036.8,0.748082,319.76192473932855
P12_Med_Side_2,116,0,580.91,638.954,0.860188,547.662,688.746,0.922064,518.693,692.79,0.870078,510.244,763.274,0.87081,489.785,829.645,0.823858,576.684,688.703,0.885339,589.186,750.961,0.849958,626.542,804.701,0.865991,547.949,829.652,0.837601,539.388,833.74,0.817647,576.922,916.641,0.89131,543.421,1012.25,0.852399,576.583,829.572,0.814535,552.039,920.95,0.792996,539.441,1016.15,0.785395,576.703,626.587,0.813263,580.793,630.567,0.203389,547.811,638.98,0.86553,0.0,0.0,0.0,585.087,1040.84,0.419412,580.81,1032.69,0.411877,514.674,1032.77,0.40518,584.974,1037.01,0.832871,572.53,1041.16,0.822184,522.843,1032.71,0.727563,320.4156138267922
P12_Med_Side_2,117,0,585.021,643.107,0.86078,551.862,701.052,0.884873,526.996,701.122,0.847705,510.522,767.411,0.888494,497.979,829.572,0.821021,580.901,696.927,0.898919,605.773,750.812,0.881369,643.115,796.52,0.902988,555.995,825.478,0.821275,543.587,829.584,0.844815,589.245,912.521,0.873604,576.79,1016.12,0.92261,576.8,821.402,0.844564,547.952,916.844,0.867994,527.081,1012.28,0.849192,576.94,638.825,0.83734,584.999,634.715,0.308289,551.839,643.038,0.881053,0.0,0.0,0.0,564.32,1036.89,0.343291,560.219,1032.83,0.277727,514.593,1028.59,0.782811,614.018,1036.97,0.953385,601.678,1041.14,0.928017,568.507,1032.67,0.79998,318.9093639892062
P12_Med_Side_2,118,0,597.555,643.015,0.807096,564.239,701.137,0.862726,539.342,705.109,0.872473,514.6,771.607,0.929138,498.044,829.695,0.84357,585.209,692.917,0.854683,614.064,750.9,0.955706,659.71,800.592,0.841059,572.561,825.449,0.85162,547.714,825.54,0.8499,597.503,912.706,0.844739,597.516,1024.42,0.831955,585.029,821.394,0.844594,551.882,916.711,0.883242,526.968,1016.11,0.884614,585.05,634.817,0.774141,597.504,630.706,0.11748,568.37,642.972,0.839263,0.0,0.0,0.0,564.274,1036.9,0.564303,551.916,1028.57,0.499259,514.528,1028.69,0.818619,638.841,1036.77,0.834355,618.34,1041.09,0.881871,584.993,1040.9,0.882877,324.5669869179551
P12_Med_Side_2,119,0,609.678,643.118,0.809444,576.543,705.202,0.933406,543.619,705.256,0.932923,518.736,771.653,0.901744,506.149,821.396,0.877834,605.664,705.135,0.861471,622.378,755.043,0.85663,676.284,800.596,0.911201,576.775,825.521,0.892663,551.965,825.574,0.808974,609.712,916.755,0.859746,618.206,1028.63,0.858473,593.322,825.496,0.815651,551.904,912.691,0.896668,527.037,1016.18,0.879093,593.373,638.85,0.719763,605.771,634.798,0.150649,576.622,643.046,0.86869,0.0,0.0,0.0,576.583,1040.95,0.826059,564.296,1032.68,0.695499,514.541,1032.67,0.778047,667.96,1020.28,0.735787,651.509,1036.89,0.777958,610.081,1041.18,0.911147,331.86437658326645
P12_Med_Side_2,120,0,610.089,647.113,0.904148,580.707,705.265,0.964511,547.897,705.336,0.916384,531.08,775.564,0.888839,506.18,821.287,0.900765,609.741,705.22,0.878271,634.866,751.035,0.848707,680.49,784.117,0.906182,580.843,829.597,0.876933,572.524,833.692,0.802304,614.028,920.785,0.86724,642.961,1028.56,0.876462,597.42,829.559,0.78058,556.068,912.68,0.874584,527.056,1016.16,0.876345,605.661,642.935,0.837976,610.088,638.902,0.446075,576.742,643.233,0.904,0.0,0.0,0.0,576.647,1040.98,0.886821,568.444,1032.7,0.736853,514.517,1028.65,0.775759,684.477,1016.24,0.797629,676.203,1036.83,0.836706,634.866,1041.19,0.788396,336.91381430864476
P12_Med_Side_2,121,0,618.18,643.163,0.896567,585.06,705.265,0.918676,564.236,709.167,0.881114,539.407,771.547,0.889472,506.338,817.203,0.953113,614.053,705.205,0.901544,643.243,754.947,0.92904,697.0,783.992,0.875181,585.135,825.505,0.837174,576.624,825.535,0.841296,605.747,912.472,0.627245,651.45,1016.34,0.452123,609.928,825.512,0.851277,609.864,916.644,0.58255,651.54,1016.16,0.537591,613.916,638.911,0.867672,614.065,638.952,0.0964524,589.186,643.274,0.878561,0.0,0.0,0.0,709.41,1012.12,0.403453,705.118,1011.95,0.342969,647.439,1040.89,0.440455,701.176,1016.21,0.453972,688.685,1032.7,0.410235,651.422,1036.92,0.438155,319.3141614852057
P12_Med_Side_2,122,0,630.569,647.116,0.872191,597.401,705.352,0.896701,572.544,709.231,0.915883,543.445,775.572,0.939306,510.42,817.349,0.965645,618.303,705.242,0.883935,647.439,750.911,0.922787,709.34,780.046,0.956646,601.588,837.785,0.845239,580.957,837.812,0.872976,634.714,924.932,0.811836,676.164,1020.31,0.893582,613.986,833.824,0.85826,568.458,912.741,0.854367,531.067,1016.17,0.873196,614.297,642.895,0.86238,626.574,638.974,0.158939,593.412,647.105,0.858548,0.0,0.0,0.0,572.663,1040.96,0.788309,568.427,1032.68,0.713038,514.483,1028.64,0.788846,713.49,1012.13,0.829943,709.341,1028.56,0.833648,676.001,1040.94,0.790694,327.88298010265794
P12_Med_Side_2,123,0,638.88,647.219,0.837916,605.769,709.242,0.95202,576.709,709.327,0.955944,543.687,775.524,0.936142,514.38,817.267,0.985515,630.663,709.221,0.86865,663.852,759.146,0.857933,713.653,779.864,0.95751,609.829,837.825,0.907531,589.157,837.862,0.835413,642.889,924.962,0.823978,684.654,1016.37,0.873895,618.216,837.843,0.84849,572.649,912.685,0.873712,531.169,1012.27,0.861835,622.304,643.021,0.796157,634.861,642.908,0.226553,605.644,647.268,0.853223,0.0,0.0,0.0,572.596,1040.96,0.775259,568.419,1032.7,0.711149,514.543,1024.49,0.780757,734.209,1008.01,0.818132,721.894,1016.28,0.825369,684.581,1040.94,0.800582,325.4650931728317
P12_Med_Side_2,124,0,643.13,647.427,0.867963,610.026,709.333,1.01444,580.891,709.368,0.956849,547.935,775.561,0.92725,514.72,817.261,0.955185,642.854,709.419,0.912352,676.074,759.153,0.884975,721.959,779.859,0.884386,610.067,837.97,0.916345,601.637,838.008,0.823174,647.173,929.174,0.831579,705.115,1016.36,0.837159,618.323,841.883,0.836527,576.809,912.661,0.886487,531.184,1012.16,0.843957,634.857,643.261,0.824972,643.075,643.186,0.341092,609.986,647.389,0.87835,0.0,0.0,0.0,572.514,1040.98,0.752042,568.378,1032.78,0.699183,514.543,1020.33,0.766845,742.561,1008.03,0.815171,738.356,1020.29,0.804794,701.121,1040.91,0.749289,331.1732027806598
